customerID;jobID;bookingTime;vaTime;startX;startY;endX;endY;
20001;AP0001;17.06.2016 00:00;17.06.2016 00:00;476298.9673;5552771.546;476772.3173;5552581.715;
20002;AP0002;17.06.2016 00:01;17.06.2016 00:01;476144.2435;5553192.226;476703.8972;5552567.096;
20003;AP0003;17.06.2016 00:01;17.06.2016 00:01;476461.6757;5552652.17;476188.1341;5553019.911;
20004;AP0004;17.06.2016 00:02;17.06.2016 00:02;476607.5792;5552649.098;476103.3967;5552804.309;
20005;AP0005;17.06.2016 00:02;17.06.2016 00:02;476430.7625;5553131.739;476305.6327;5552934.948;
20006;AP0006;17.06.2016 00:02;17.06.2016 00:02;476583.8472;5553317.12;476152.1411;5552990.995;
20007;AP0007;17.06.2016 00:03;17.06.2016 00:03;476719.5307;5553162.681;476586.1956;5552541.147;
20008;AP0008;17.06.2016 00:05;17.06.2016 00:05;476608.5427;5553041.854;476602.153;5552452.821;
20009;AP0009;17.06.2016 00:06;17.06.2016 00:06;476890.8492;5552833.507;476756.6463;5552596.276;
20010;AP0010;17.06.2016 00:06;17.06.2016 00:06;476921.7222;5552531.266;476414.1203;5552509.652;
20011;AP0011;17.06.2016 00:07;17.06.2016 00:07;476199.8116;5552863.416;476295.8783;5552264.585;
20012;AP0012;17.06.2016 00:08;17.06.2016 00:08;476180.3684;5552977.194;476354.9332;5552406.393;
20013;AP0013;17.06.2016 00:09;17.06.2016 00:09;476208.2353;5552927.437;476178.5567;5552895.8;
20014;AP0014;17.06.2016 00:10;17.06.2016 00:10;476139.5667;5552966.969;476020.6239;5552710.037;
20015;AP0015;17.06.2016 00:12;17.06.2016 00:12;475866.6949;5553086.046;476297.8362;5552794.952;
20016;AP0016;17.06.2016 00:12;17.06.2016 00:12;476129.2947;5552964.394;476306.9896;5552875.949;
20017;AP0017;17.06.2016 00:13;17.06.2016 00:13;476245.3612;5552819.538;476164.3234;5552973.172;
20018;AP0018;17.06.2016 00:14;17.06.2016 00:14;476201.2229;5552853.707;476069.3048;5552945.854;
20019;AP0019;17.06.2016 00:15;17.06.2016 00:15;476227.1562;5552813.107;476285.89;5552772.167;
20020;AP0020;17.06.2016 00:16;17.06.2016 00:16;476105.1419;5552804.971;476303.4527;5552970.303;
20021;AP0021;17.06.2016 00:17;17.06.2016 00:17;476187.69;5552804.877;476302.3778;5552976.203;
20022;AP0022;17.06.2016 00:17;17.06.2016 00:17;476094.0814;5552900.607;476051.9377;5553056.119;
20023;AP0023;17.06.2016 00:18;17.06.2016 00:18;475925.4599;5553112.929;476077.8146;5552791.085;
20024;AP0024;17.06.2016 00:18;17.06.2016 00:18;476001.065;5553063.575;475873.6193;5553286.063;
20025;AP0025;17.06.2016 00:21;17.06.2016 00:21;476886.6216;5552847.071;476066.9405;5553029.357;
20026;AP0026;17.06.2016 00:21;17.06.2016 00:21;476704.016;5552404.376;476069.0268;5553074.663;
20027;AP0027;17.06.2016 00:23;17.06.2016 00:23;476024.8807;5553050.612;476081.9468;5552961.926;
20028;AP0028;17.06.2016 00:23;17.06.2016 00:23;476148.5919;5553175.311;475867.7448;5553046.598;
20029;AP0029;17.06.2016 00:25;17.06.2016 00:25;476059.8215;5552931.61;476173.4245;5552975.453;
20030;AP0030;17.06.2016 00:29;17.06.2016 00:29;476236.8564;5552748.923;476139.0734;5552988.024;
